datetime	C1	C2	C3	C4	C5	T1	T2	T3	T4	T5	AP
24/06/2008 10:30	9.08	9.31	8.78	9.67	9.45	11.16	10.45	10.77	10.34	10.75	914.648776
24/06/2008 10:35	9.23	9.35	8.92	9.69	9.50	10.48	10.23	10.41	10.29	10.58	914.7167704
24/06/2008 10:40	9.32	9.38	9.03	9.70	9.56	10.20	10.15	10.27	10.32	10.53	914.7834316
24/06/2008 10:45	9.38	9.40	9.09	9.71	9.59	10.10	10.13	10.24	10.39	10.56	914.8447599
24/06/2008 10:50	9.41	9.41	9.13	9.71	9.63	10.09	10.14	10.26	10.44	10.59	914.8967556
24/06/2008 10:55	9.43	9.41	9.16	9.70	9.62	10.11	10.19	10.29	10.52	10.66	914.940752
24/06/2008 11:00	9.42	9.41	9.19	9.70	9.61	10.13	10.25	10.33	10.58	10.74	914.9714161
24/06/2008 11:05	9.42	9.42	9.22	9.70	9.60	10.16	10.31	10.37	10.65	10.82	914.9914145
24/06/2008 11:10	9.42	9.41	9.24	9.69	9.58	10.18	10.36	10.40	10.66	10.88	915.000747
24/06/2008 11:15	9.43	9.40	9.26	9.68	9.58	10.20	10.38	10.45	10.68	10.92	915.0060799
24/06/2008 11:20	9.42	9.39	9.28	9.68	9.57	10.21	10.41	10.49	10.71	10.95	915.0087464
24/06/2008 11:25	9.42	9.39	9.30	9.68	9.57	10.22	10.43	10.54	10.77	10.99	915.0154125
24/06/2008 11:30	9.42	9.39	9.33	9.67	9.56	10.24	10.44	10.59	10.80	11.01	915.0247451
24/06/2008 11:35	9.42	9.39	9.35	9.67	9.57	10.26	10.47	10.64	10.87	11.06	915.0354109
24/06/2008 11:40	9.41	9.40	9.37	9.67	9.58	10.29	10.52	10.69	10.98	11.14	915.0434102
24/06/2008 11:45	9.39	9.39	9.40	9.66	9.59	10.33	10.59	10.75	11.05	11.23	915.0514095
24/06/2008 11:50	9.39	9.39	9.42	9.65	9.58	10.37	10.63	10.80	11.08	11.31	915.0594089
24/06/2008 11:55	9.40	9.37	9.43	9.63	9.55	10.40	10.68	10.85	11.12	11.40	915.0687414
24/06/2008 12:00	9.40	9.36	9.45	9.62	9.53	10.43	10.73	10.90	11.20	11.47	915.0820737
24/06/2008 12:05	9.39	9.35	9.46	9.60	9.51	10.46	10.74	10.93	11.21	11.51	915.0954059
24/06/2008 12:10	9.38	9.34	9.47	9.60	9.50	10.47	10.73	10.96	11.20	11.51	915.1007388
24/06/2008 12:15	9.37	9.34	9.47	9.60	9.50	10.48	10.75	10.99	11.24	11.53	915.0967391
24/06/2008 12:20	9.37	9.34	9.48	9.60	9.50	10.51	10.77	11.04	11.31	11.57	915.078074
24/06/2008 12:25	9.37	9.34	9.48	9.59	9.50	10.55	10.82	11.08	11.41	11.64	915.0487431
24/06/2008 12:30	9.37	9.34	9.47	9.58	9.48	10.61	10.85	11.13	11.45	11.71	915.0114128
24/06/2008 12:35	9.36	9.34	9.47	9.57	9.48	10.66	10.91	11.19	11.49	11.81	914.9727493
24/06/2008 12:40	9.34	9.33	9.47	9.56	9.47	10.70	10.97	11.24	11.57	11.89	914.9354191
24/06/2008 12:45	9.33	9.32	9.46	9.55	9.47	10.76	11.04	11.30	11.63	11.97	914.899422
24/06/2008 12:50	9.32	9.31	9.46	9.55	9.46	10.78	11.10	11.36	11.69	12.04	914.8660914
24/06/2008 12:55	9.31	9.30	9.45	9.54	9.45	10.81	11.14	11.41	11.75	12.12	914.8327609
24/06/2008 13:00	9.31	9.29	9.44	9.54	9.44	10.85	11.19	11.47	11.81	12.20	914.8007635
